Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,H/C,KM [CH2],KMD [CH2],I,N/C,NKM [CH2],O/C,O/N,S/C
181.182506,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,1367284,0.083,181,0,0,0
,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,,0.083,181,0,0,0
,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,,0.083,181,0,0,0
,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,,0.083,181,0,0,0
,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,,0.083,181,0,0,0
,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,,0.083,181,0,0,0
,1,C12H23N,100,181.182501,0,0,n.a.,2.5,odd,ok,1.917,180.980196,0.019804,,0.083,181,0,0,0
181.195085,1,C13H25,100,181.195077,0,0,9.3,2,even,ok,1.923,180.992761,0.007239,17061484,0,181,0,0,0
,1,C13H25,100,181.195077,0,0,9.3,2,even,ok,1.923,180.992761,0.007239,,0,181,0,0,0
,1,C13H25,100,181.195077,0,0,9.3,2,even,ok,1.923,180.992761,0.007239,,0,181,0,0,0
,1,C13H25,100,181.195077,0,0,9.3,2,even,ok,1.923,180.992761,0.007239,,0,181,0,0,0
,1,C13H25,100,181.195077,0,0,9.3,2,even,ok,1.923,180.992761,0.007239,,0,181,0,0,0
,1,C13H25,100,181.195077,0,0,9.3,2,even,ok,1.923,180.992761,0.007239,,0,181,0,0,0
