Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,KM [CH2],KMD [CH2],NKM [CH2],I,H/C,N/C,O/C,O/N,S/C,rdb
,1,C9H21S,100,161.135848,0.1,0,n.a.,2,even,ok,160.955907,0.044093,161,,2.333,0,0,0,0.111,2
,1,C9H21S,100,161.135848,0.1,0,n.a.,2,even,ok,160.955907,0.044093,161,,2.333,0,0,0,0.111,2
,1,C9H21S,100,161.135848,0.1,0,n.a.,2,even,ok,160.955907,0.044093,161,,2.333,0,0,0,0.111,2
161.153575,1,C9H21O2,100,161.153606,0.2,0.1,n.a.,0,even,ok,160.973629,0.026371,161,1556164,2.333,0,0.222,0,0,0
,1,C9H21O2,100,161.153606,0.2,0.1,n.a.,0,even,ok,160.973629,0.026371,161,,2.333,0,0.222,0,0,0
,1,C9H21O2,100,161.153606,0.2,0.1,n.a.,0,even,ok,160.973629,0.026371,161,,2.333,0,0.222,0,0,0
,1,C9H21O2,100,161.153606,0.2,0.1,n.a.,0,even,ok,160.973629,0.026371,161,,2.333,0,0.222,0,0,0
,1,C9H21O2,100,161.153606,0.2,0.1,n.a.,0,even,ok,160.973629,0.026371,161,,2.333,0,0.222,0,0,0
,1,C9H21O2,100,161.153606,0.2,0.1,n.a.,0,even,ok,160.973629,0.026371,161,,2.333,0,0.222,0,0,0
162.143668,1,C9H22S,100,162.143673,0,0,n.a.,1.5,odd,ok,161.962617,0.037383,162,2657482,2.444,0,0,0,0.111,1.5
,1,C9H22S,100,162.143673,0,0,n.a.,1.5,odd,ok,161.962617,0.037383,162,,2.444,0,0,0,0.111,1.5
,1,C9H22S,100,162.143673,0,0,n.a.,1.5,odd,ok,161.962617,0.037383,162,,2.444,0,0,0,0.111,1.5
,1,C9H22S,100,162.143673,0,0,n.a.,1.5,odd,ok,161.962617,0.037383,162,,2.444,0,0,0,0.111,1.5
,1,C9H22S,100,162.143673,0,0,n.a.,1.5,odd,ok,161.962617,0.037383,162,,2.444,0,0,0,0.111,1.5
,1,C9H22S,100,162.143673,0,0,n.a.,1.5,odd,ok,161.962617,0.037383,162,,2.444,0,0,0,0.111,1.5
165.163767,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,3042447,1.75,0,0,0,0,3
,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,,1.75,0,0,0,0,3
,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,,1.75,0,0,0,0,3
,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,,1.75,0,0,0,0,3
,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,,1.75,0,0,0,0,3
,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,,1.75,0,0,0,0,3
,1,C12H21,100,165.163777,0.1,0,n.a.,3,even,ok,164.979344,0.020656,165,,1.75,0,0,0,0,3
166.171555,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,1657629,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
,1,C12H22,100,166.171602,0.3,0.2,n.a.,2.5,odd,ok,165.986006,0.013994,166,,1.833,0,0,0,0,2.5
167.179388,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,2896994,1.917,0,0,0,0,2
,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,,1.917,0,0,0,0,2
,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,,1.917,0,0,0,0,2
,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,,1.917,0,0,0,0,2
,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,,1.917,0,0,0,0,2
,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,,1.917,0,0,0,0,2
,1,C12H23,100,167.179427,0.2,0.2,36.7,2,even,ok,166.992714,0.007286,167,,1.917,0,0,0,0,2
168.187211,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,6274897,2,0,0,0,0,1.5
,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,,2,0,0,0,0,1.5
,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,,2,0,0,0,0,1.5
,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,,2,0,0,0,0,1.5
,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,,2,0,0,0,0,1.5
,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,,2,0,0,0,0,1.5
,1,C12H24,100,168.187252,0.2,0.2,60.7,1.5,odd,ok,167.999412,0.000588,168,,2,0,0,0,0,1.5
169.195049,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,17603452,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
,1,C12H25,100,169.195077,0.2,0.1,73.9,1,even,ok,169.006124,-0.006124,169,,2.083,0,0,0,0,1
170.166502,1,C11H22O,100,170.166517,0.1,0,n.a.,1.5,odd,ok,169.976492,0.023508,170,571676,2,0,0.091,0,0,1.5
,1,C11H22O,100,170.166517,0.1,0,n.a.,1.5,odd,ok,169.976492,0.023508,170,,2,0,0.091,0,0,1.5
,1,C11H22O,100,170.166517,0.1,0,n.a.,1.5,odd,ok,169.976492,0.023508,170,,2,0,0.091,0,0,1.5
,1,C11H22O,100,170.166517,0.1,0,n.a.,1.5,odd,ok,169.976492,0.023508,170,,2,0,0.091,0,0,1.5
,1,C11H22O,100,170.166517,0.1,0,n.a.,1.5,odd,ok,169.976492,0.023508,170,,2,0,0.091,0,0,1.5
,1,C11H22O,100,170.166517,0.1,0,n.a.,1.5,odd,ok,169.976492,0.023508,170,,2,0,0.091,0,0,1.5
170.20291,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,519834080,2.167,0,0,0,0,0.5
,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,,2.167,0,0,0,0,0.5
,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,,2.167,0,0,0,0,0.5
,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,,2.167,0,0,0,0,0.5
,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,,2.167,0,0,0,0,0.5
,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,,2.167,0,0,0,0,0.5
,1,C12H26,100,170.202902,0,0,20.6,0.5,odd,ok,170.012859,-0.012859,170,,2.167,0,0,0,0,0.5
171.174339,1,C11H23O,100,171.174342,0,0,19.7,1,even,ok,170.983204,0.016796,171,6299525,2.091,0,0.091,0,0,1
,1,C11H23O,100,171.174342,0,0,19.7,1,even,ok,170.983204,0.016796,171,,2.091,0,0.091,0,0,1
,1,C11H23O,100,171.174342,0,0,19.7,1,even,ok,170.983204,0.016796,171,,2.091,0,0.091,0,0,1
,1,C11H23O,100,171.174342,0,0,19.7,1,even,ok,170.983204,0.016796,171,,2.091,0,0.091,0,0,1
,1,C11H23O,100,171.174342,0,0,19.7,1,even,ok,170.983204,0.016796,171,,2.091,0,0.091,0,0,1
,1,C11H23O,100,171.174342,0,0,19.7,1,even,ok,170.983204,0.016796,171,,2.091,0,0.091,0,0,1
171.21073,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,3300476,2.25,0,0,0,0,0
,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,,2.25,0,0,0,0,0
,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,,2.25,0,0,0,0,0
,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,,2.25,0,0,0,0,0
,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,,2.25,0,0,0,0,0
,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,,2.25,0,0,0,0,0
,1,C12H27,100,171.210727,0,0,10.1,0,even,ok,171.019555,-0.019555,171,,2.25,0,0,0,0,0
172.182137,1,C11H24O,100,172.182167,0.2,0.1,23.7,0.5,odd,ok,171.989877,0.010123,172,2887182,2.182,0,0.091,0,0,0.5
